lots,trades,mean_gross,mean_base_slippage,mean_ladder_impact,mean_volume_impact,mean_oi_impact,mean_impact,mean_cost,mean_net,net_win_rate,mean_participation_impact,impact_to_base_ratio,ladder_share_of_impact
34,272,3492.937499999998,2239.6605367191914,1252.6914866395475,245.21160808674068,54.63989472572056,1552.542989452009,4571.389977872351,-1078.4524778723528,0.49264705882352944,299.85150281246126,0.6932046013215379,0.806864283404933
35,272,3595.670955882351,2305.5329054462263,1328.6121827995205,256.2118748324702,57.09281672131096,1641.9168743533016,4743.983607468966,-1148.3126515866147,0.49264705882352944,313.30469155378114,0.7121637129857036,0.8091835850842438
36,272,3698.4044117647036,2371.4052741732617,1406.7658406112569,267.37171707621843,59.58137066189379,1733.718928349369,4919.004463847332,-1220.6000520826278,0.49264705882352944,326.95308773811223,0.731093477454541,0.8114151709415804
37,272,3801.1378676470567,2437.2776429002965,1487.1524600747573,278.6888826888259,62.10505366486283,1827.946396428446,5096.449792993175,-1295.311925346118,0.49264705882352944,340.79393635368876,0.7499951438660216,0.8135645897387621
38,272,3903.871323529409,2503.1500116273314,1569.7720411900214,290.1612122583821,64.66338355063934,1924.5966369990429,5276.316954271431,-1372.4456307420212,0.49264705882352944,354.8245958090214,0.7688698751809272,0.815636903344959
39,272,4006.604779411762,2569.0223803543668,1654.6245839570495,301.78663289974736,67.25589746038733,2023.6671143171843,5458.603412856227,-1451.9986334444643,0.49264705882352944,369.0425303601347,0.7877187562834868,0.817636740870469
40,272,4109.338235294115,2634.8947490814016,1741.7100883758417,313.56315262755055,69.88215059954837,2125.1553916029407,5643.306732849905,-1533.968497555789,0.49264705882352944,383.4453032270989,0.8065428011285193,0.8195683455703078
41,272,4212.071691176468,2700.767117808437,1831.0285544463977,325.4888552284037,72.5417150928479,2229.0591247676493,5830.424571012511,-1618.3528798360423,0.49264705882352944,398.03057032125156,0.8253429590687702,0.8214356156377228
42,272,4314.805147058821,2766.6394865354714,1922.5799821687178,337.56189557681034,75.2341789383745,2335.3760566839023,6019.954671033864,-1705.1495239750423,0.49264705882352944,412.79607451518484,0.8441201204745258,0.8232421398113797
43,272,4417.538602941174,2832.5118552625067,2016.3643715428013,349.78049534660624,77.9591450499787,2444.1040119393865,6211.894859274643,-1794.356256333469,0.49264705882352944,427.73964039658495,0.8628751217399144,0.8249912285618419
44,272,4520.272058823527,2898.384223989542,2112.381722568649,362.14293907601046,80.71623037862993,2555.2408920232892,6406.243056899083,-1885.970998075556,0.49264705882352944,442.8591694546404,0.8816087497557774,0.8266859414949422
45,272,4623.00551470588,2964.256592716577,2210.632035246261,374.6475705496678,83.50506510455536,2668.7846709004843,6602.997222183029,-1979.9917074771497,0.49264705882352944,458.15263565422316,0.9003217459169724,0.8283291115054117
46,272,4725.738970588232,3030.1289614436123,2311.115309575636,387.29278946559594,86.32529189299545,2784.7333909342274,6802.1554081276845,-2076.416437539452,0.49264705882352944,473.6180813585914,0.9190148097220014,0.8299233661288842
47,272,4828.472426470586,3096.0013301706467,2413.8315455567754,400.0770483588291,89.1765652072781,2903.085159122883,7003.715715894295,-2175.24328942371,0.49264705882352944,489.25361356610716,0.9376886020145442,0.8314711464702857
48,272,4931.205882352939,3161.873698897682,2518.7807431896786,412.99884975689235,92.0585506736585,3023.8381436202294,7207.67630920999,-2276.4704268570513,0.4889705882352941,505.05740043055084,0.956343747909483,0.8329747240287534
49,272,5033.939338235292,3227.7460676247174,2625.9629024743463,426.0567435451206,94.97092449301572,3146.9905705124825,7414.035414802417,-2380.0960765671257,0.4889705882352941,521.0276680381363,0.9749808394401787,0.8344362156912063
50,272,5136.672794117644,3293.6184363517523,2735.378023410777,439.2493245223323,97.91337289505401,3272.5407208281636,7622.791314321669,-2486.118520204025,0.4889705882352941,537.1626974173863,0.993600437958765,0.8358575971267213
51,272,5239.406249999997,3359.490805078787,2847.026105998972,452.57523012953516,100.88559163114084,3400.486927759648,7833.942341562828,-2594.5360915628303,0.4889705882352941,553.460821760676,1.0122030763170669,0.837240714780423
52,272,5342.13970588235,3425.363173805822,2960.907150238931,466.0331383362297,103.88728550233513,3530.8275740774957,8047.486879881231,-2705.3471739988813,0.4889705882352941,569.9204238385648,1.0307892608521552,0.8385872966375402
