profile,config_id,trade_id,trade_date,entry_ts,split,confidence_score,risk_fraction,drawdown_before,losing_streak_before,margin_cap_lots,risk_cap_lots,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,margin_rupees,equity_before,equity_after,margin_utilization
max_margin_efficiency_dd_1.5%,5628,971,2022-08-10,2022-08-10 08:11:00+00:00,discovery_2021_2023,0.5694444444444444,0.04,-0.0024766057483912585,0,7,17,7,-454.999999999999,770.0984798105194,-1225.0984798105183,156764.79404057848,318951.7261956677,1028624.0682606878,1027398.9697808772,0.3100760871121622
max_margin_efficiency_dd_1.5%,5628,975,2022-08-25,2022-08-25 07:04:00+00:00,discovery_2021_2023,0.2916666666666667,0.0,-0.003664663107324606,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1027398.9697808772,1027398.9697808772,0.0
max_margin_efficiency_dd_1.5%,5628,985,2022-10-06,2022-10-06 05:00:00+00:00,discovery_2021_2023,0.4305555555555556,0.04,-0.003664663107324606,0,8,10,8,859.9999999999994,551.3209653108572,308.6790346891422,77898.36473599325,342779.99582660454,1027398.9697808772,1027707.6488155663,0.33363864078986993
max_margin_efficiency_dd_1.5%,5628,989,2022-11-02,2022-11-02 08:25:00+00:00,discovery_2021_2023,0.6944444444444444,0.04,-0.003365317050861072,0,7,17,7,-245.00000000000347,675.864681596968,-920.8646815969714,157013.36499320876,327318.7284100634,1027707.6488155663,1026786.7841339693,0.318494008278812
max_margin_efficiency_dd_1.5%,5628,990,2022-11-03,2022-11-03 05:34:00+00:00,discovery_2021_2023,0.4722222222222222,0.04,-0.004258339187107829,0,8,9,8,4519.999999999997,473.0956081096822,4046.9043918903153,64506.06753834232,354060.6496066319,1026786.7841339693,1030833.6885258596,0.34482392554873015
max_margin_efficiency_dd_1.5%,5628,991,2022-11-10,2022-11-10 08:11:00+00:00,discovery_2021_2023,0.8888888888888888,0.04,-0.000333793835922247,0,8,7,7,4830.0,382.96818489577703,4447.031815104223,26709.2674725084,305598.97940672975,1030833.6885258596,1035280.7203409638,0.2964580832081173
max_margin_efficiency_dd_1.5%,5628,992,2022-11-17,2022-11-17 08:21:00+00:00,discovery_2021_2023,0.875,0.04,0.0,0,8,7,7,4585.0,380.7206391669586,4204.279360833041,22785.762302299994,314188.6680510025,1035280.7203409638,1039484.9997017968,0.30348161795916206
max_margin_efficiency_dd_1.5%,5628,995,2022-12-08,2022-12-08 07:49:00+00:00,discovery_2021_2023,0.7361111111111112,0.04,0.0,0,8,7,7,1925.000000000001,385.53799932813297,1539.4620006718678,33530.33574350082,312700.4571041132,1039484.9997017968,1041024.4617024687,0.300822481511344
max_margin_efficiency_dd_1.5%,5628,996,2022-12-15,2022-12-15 07:28:00+00:00,discovery_2021_2023,0.8194444444444444,0.04,0.0,0,8,8,8,3580.000000000001,424.0844523932967,3155.9155476067044,43617.10498856931,358992.8072722229,1041024.4617024687,1044180.3772500753,0.3448456981357901
max_margin_efficiency_dd_1.5%,5628,997,2022-12-22,2022-12-22 06:21:00+00:00,discovery_2021_2023,0.4583333333333333,0.04,0.0,0,8,10,8,3560.000000000001,490.24881464423436,3069.7511853557667,76225.35314144478,359636.81273169874,1044180.3772500753,1047250.1284354312,0.3444201984324091
max_margin_efficiency_dd_1.5%,5628,1001,2023-01-19,2023-01-19 05:28:00+00:00,discovery_2021_2023,0.6111111111111112,0.04,0.0,0,8,9,8,2540.0,452.90423151292805,2087.095768487072,61656.75594720015,356776.71298375493,1047250.1284354312,1049337.2242039181,0.3406795600175973
max_margin_efficiency_dd_1.5%,5628,1002,2023-01-25,2023-01-25 08:19:00+00:00,discovery_2021_2023,0.3055555555555556,0.0,0.0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1049337.2242039181,1049337.2242039181,0.0
max_margin_efficiency_dd_1.5%,5628,1003,2023-01-31,2023-01-31 06:15:00+00:00,discovery_2021_2023,0.1388888888888889,0.0,0.0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,1049337.2242039181,1049337.2242039181,0.0
max_margin_efficiency_dd_1.5%,5628,1004,2023-02-02,2023-02-02 06:50:00+00:00,discovery_2021_2023,0.2083333333333333,0.0,0.0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1049337.2242039181,1049337.2242039181,0.0
max_margin_efficiency_dd_1.5%,5628,1006,2023-02-16,2023-02-16 07:12:00+00:00,discovery_2021_2023,0.3333333333333333,0.0,0.0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1049337.2242039181,1049337.2242039181,0.0
max_margin_efficiency_dd_1.5%,5628,1007,2023-02-23,2023-02-23 07:03:00+00:00,discovery_2021_2023,0.3611111111111111,0.0,0.0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1049337.2242039181,1049337.2242039181,0.0
max_margin_efficiency_dd_1.5%,5628,1011,2023-03-29,2023-03-29 06:50:00+00:00,discovery_2021_2023,0.0555555555555555,0.0,0.0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1049337.2242039181,1049337.2242039181,0.0
max_margin_efficiency_dd_1.5%,5628,1012,2023-04-20,2023-04-20 07:16:00+00:00,discovery_2021_2023,0.6666666666666666,0.04,0.0,0,8,8,8,4459.999999999999,421.65830988103005,4038.341690118969,40579.49798628838,345522.2653977801,1049337.2242039181,1053375.565894037,0.3292766685751678
max_margin_efficiency_dd_1.5%,5628,1013,2023-05-11,2023-05-11 07:34:00+00:00,discovery_2021_2023,0.6527777777777778,0.04,0.0,0,8,8,8,3060.0,427.01673587212133,2632.9832641278786,43616.586487382745,354955.0813274163,1053375.565894037,1056008.549158165,0.33696916163624263
max_margin_efficiency_dd_1.5%,5628,1015,2023-05-25,2023-05-25 08:18:00+00:00,discovery_2021_2023,0.8611111111111112,0.04,0.0,0,8,7,7,-7577.499999999998,404.2298121453295,-7981.729812145328,40352.36207002541,310667.63937818207,1056008.549158165,1048026.8193460196,0.2941904586149818
max_margin_efficiency_dd_1.5%,5628,1016,2023-06-01,2023-06-01 07:35:00+00:00,discovery_2021_2023,0.6111111111111112,0.04,-0.007558395070293988,0,8,7,7,1959.999999999999,389.5255590326442,1570.474440967355,36330.27063976378,312345.41623392736,1048026.8193460196,1049597.293786987,0.2980318923792755
max_margin_efficiency_dd_1.5%,5628,1017,2023-06-08,2023-06-08 07:57:00+00:00,discovery_2021_2023,0.9166666666666666,0.04,-0.006071215404732322,0,8,7,7,3150.0,385.8632404101959,2764.136759589804,30345.298473518178,314523.1705628823,1049597.293786987,1052361.4305465769,0.2996608055534049
max_margin_efficiency_dd_1.5%,5628,1018,2023-06-15,2023-06-15 07:39:00+00:00,discovery_2021_2023,0.9861111111111112,0.04,-0.0034536828461242397,0,8,8,8,3159.999999999998,423.10790388633285,2736.8920961136655,42561.13839515216,362092.6653508403,1052361.4305465769,1055098.3226426905,0.34407633617166694
max_margin_efficiency_dd_1.5%,5628,1019,2023-06-22,2023-06-22 06:54:00+00:00,discovery_2021_2023,0.5833333333333334,0.04,-0.0008619499493637273,0,8,8,8,3160.0000000000014,424.8205519968781,2735.179448003123,46159.547328534565,366692.60195573285,1055098.3226426905,1057833.5020906937,0.3475435360728115
max_margin_efficiency_dd_1.5%,5628,1020,2023-07-13,2023-07-13 06:45:00+00:00,discovery_2021_2023,0.8333333333333334,0.04,0.0,0,7,8,7,1032.5000000000007,397.25970636485266,635.240293635148,46462.297149017984,327368.8239071281,1057833.5020906937,1058468.7423843287,0.30947103042219687
