trade_date,entry_ts,trade_id,signal_family
2021-06-21,2021-06-21 06:36:00+00:00,244,phase7_180min
2021-06-21,2021-06-21 07:22:00+00:00,245,phase7_180min
2021-06-22,2021-06-22 04:51:00+00:00,246,phase7_180min
2021-06-22,2021-06-22 04:54:00+00:00,247,phase7_180min
2021-06-22,2021-06-22 04:57:00+00:00,248,phase7_180min
2021-06-22,2021-06-22 05:01:00+00:00,249,phase7_180min
2021-06-22,2021-06-22 05:21:00+00:00,250,phase7_180min
2021-06-22,2021-06-22 05:46:00+00:00,251,phase7_180min
2021-06-22,2021-06-22 07:09:00+00:00,252,phase7_180min
2021-06-23,2021-06-23 05:50:00+00:00,253,phase7_180min
2021-06-23,2021-06-23 06:04:00+00:00,254,phase7_180min
2021-06-24,2021-06-24 05:06:00+00:00,255,phase7_180min
2021-06-24,2021-06-24 06:01:00+00:00,256,phase7_180min
2021-06-24,2021-06-24 09:06:00+00:00,257,phase7_180min
2021-06-28,2021-06-28 06:12:00+00:00,258,phase7_180min
2021-06-28,2021-06-28 08:06:00+00:00,259,phase7_180min
2021-06-28,2021-06-28 08:12:00+00:00,260,phase7_180min
2021-06-28,2021-06-28 08:27:00+00:00,261,phase7_180min
2021-06-28,2021-06-28 08:34:00+00:00,262,phase7_180min
2021-06-29,2021-06-29 04:53:00+00:00,263,phase7_180min
2021-06-29,2021-06-29 05:36:00+00:00,264,phase7_180min
2021-06-29,2021-06-29 08:33:00+00:00,265,phase7_180min
2021-06-30,2021-06-30 05:01:00+00:00,266,phase7_180min
2021-06-30,2021-06-30 05:16:00+00:00,267,phase7_180min
2021-06-30,2021-06-30 05:20:00+00:00,268,phase7_180min
2021-06-30,2021-06-30 05:41:00+00:00,269,phase7_180min
2021-07-01,2021-07-01 05:03:00+00:00,270,phase7_180min
2021-07-01,2021-07-01 05:07:00+00:00,271,phase7_180min
2021-07-01,2021-07-01 05:21:00+00:00,272,phase7_180min
2021-07-01,2021-07-01 05:30:00+00:00,273,phase7_180min
2021-07-01,2021-07-01 05:32:00+00:00,274,phase7_180min
2021-07-01,2021-07-01 07:02:00+00:00,275,phase7_180min
2021-07-01,2021-07-01 07:09:00+00:00,276,phase7_180min
2021-07-01,2021-07-01 07:24:00+00:00,277,phase7_180min
2021-07-01,2021-07-01 07:35:00+00:00,278,phase7_180min
2021-07-01,2021-07-01 07:42:00+00:00,279,phase7_180min
2021-07-01,2021-07-01 08:10:00+00:00,280,phase7_180min
2021-07-02,2021-07-02 07:12:00+00:00,281,phase7_180min
2021-07-02,2021-07-02 07:28:00+00:00,282,phase7_180min
2021-07-05,2021-07-05 04:53:00+00:00,283,phase7_180min
2021-07-05,2021-07-05 05:01:00+00:00,284,phase7_180min
2021-07-05,2021-07-05 05:04:00+00:00,285,phase7_180min
2021-07-05,2021-07-05 05:05:00+00:00,286,phase7_180min
2021-07-05,2021-07-05 05:19:00+00:00,287,phase7_180min
2021-07-05,2021-07-05 07:38:00+00:00,288,phase7_180min
2021-07-05,2021-07-05 08:44:00+00:00,289,phase7_180min
2021-07-06,2021-07-06 04:54:00+00:00,290,phase7_180min
2021-07-06,2021-07-06 04:59:00+00:00,291,phase7_180min
2021-07-06,2021-07-06 05:09:00+00:00,292,phase7_180min
2021-07-06,2021-07-06 05:10:00+00:00,293,phase7_180min
2021-07-06,2021-07-06 05:34:00+00:00,294,phase7_180min
2021-07-06,2021-07-06 05:42:00+00:00,295,phase7_180min
2021-07-07,2021-07-07 06:03:00+00:00,296,phase7_180min
2021-07-07,2021-07-07 07:45:00+00:00,297,phase7_180min
2021-07-08,2021-07-08 05:03:00+00:00,298,phase7_180min
2021-07-08,2021-07-08 05:20:00+00:00,299,phase7_180min
2021-07-08,2021-07-08 05:59:00+00:00,300,phase7_180min
2021-07-08,2021-07-08 07:32:00+00:00,301,phase7_180min
2021-07-08,2021-07-08 07:38:00+00:00,302,phase7_180min
2021-07-08,2021-07-08 07:57:00+00:00,303,phase7_180min
2021-07-08,2021-07-08 08:08:00+00:00,304,phase7_180min
2021-07-08,2021-07-08 08:32:00+00:00,305,phase7_180min
2021-07-12,2021-07-12 05:47:00+00:00,306,phase7_180min
2021-07-12,2021-07-12 07:42:00+00:00,307,phase7_180min
2021-07-12,2021-07-12 08:39:00+00:00,308,phase7_180min
