date,net_pnl_rupees,equity,peak_equity,drawdown_rupees,drawdown_pct,daily_return
2023-09-18,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-19,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-20,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-21,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-22,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-25,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-26,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-27,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-28,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-29,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-02,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-03,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-04,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-05,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-06,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-09,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-10,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-10-11,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
