trade_id,trade_date,entry_ts,split,structure,policy,margin_fraction,max_loss_fraction,capacity_cap_lots,margin_cap_lots,risk_cap_lots,lots,equity_before,executed,skip_reason,gross_pnl_rupees,net_pnl_rupees,turnover_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,charges_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,total_cost_rupees,margin_rupees,max_loss_rupees,entry_dte,span_time_slot,equity_after,margin_utilization,max_loss_utilization
1055,2024-07-18,2024-07-18 06:47:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,27,22,22,1005075.2399793097,True,,-4399.999999999998,-5037.737761310603,104584.8251163688,270.9971403121101,96.45660926363242,3.021900494458416,1.6592747919636646,101.1377845500545,372.1349248621646,265.6028364484397,160.0,31.191465684845816,1.640354400618464,36.636064238263984,0.10458482511636877,0.522924125581844,35.50744317401319,637.7377613106044,610874.7663257493,29617.5,14.134027777777778,ID1,1000037.5022179991,0.6077900857833536,0.029467943116984655
1058,2024-08-01,2024-08-01 05:03:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,27,16,16,1000037.5022179991,True,,3900.0000000000014,3461.6402628947208,32579.694294038607,175.28015375907887,44.56275095569802,3.2924982613859792,0.9632924188804182,48.81854163596442,224.09869539504328,214.26104171023746,160.0,11.329873624576113,0.4335568948415047,11.412666911201725,0.032579694294038605,0.16289847147019304,30.88946611385387,438.3597371052807,444158.2916399442,29339.999999999996,7.20625,BOD,1003499.1424808938,0.4441416353435131,0.029338899726186612
1064,2024-11-05,2024-11-05 06:11:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,22,79,22,1003499.1424808938,True,,742.4999999999968,-2054.3840269979987,643411.814610148,1378.7033075975423,490.7249060940404,108.9926753088834,28.407049659750292,628.1246310626741,2006.8279386602164,790.056088337779,160.0,321.0737433357439,9.670142138232123,225.38715865793486,0.643411814610148,3.2170590730507405,70.06457331820722,2796.8840269979955,722567.4060717811,8332.500000000002,9.159027777777778,ID1,1001444.7584538958,0.7200478560304684,0.008303445062643538
1066,2024-12-04,2024-12-04 05:17:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,25,44,25,1001444.7584538958,True,,156.25000000000443,-1284.6922161258026,375217.65826201945,616.1456345162671,250.6355123456002,29.91209170756226,4.819074839706796,285.36667889286923,901.5123134091365,539.4299027166705,160.0,187.23619797430518,5.63944380863143,131.43874568918542,0.37521765826201947,1.8760882913100978,52.864209294976355,1440.9422161258071,748974.1567310625,16937.49999999999,8.196527777777778,BOD,1000160.06623777,0.7478936310849377,0.016913064706783578
1067,2024-12-09,2024-12-09 08:36:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,23,52,23,1000160.06623777,True,,373.7499999999951,-1382.5036281710336,484638.7906188744,778.4297913354354,290.2619560911793,34.892441318869736,10.88108386898599,336.03548127903497,1114.4652726144705,641.7883555565581,160.0,241.94903767313,7.280692588372334,169.7689683537917,0.48463879061887444,2.4231939530943727,59.881824197550884,1756.2536281710286,727050.6485359223,13167.499999999995,10.058333333333334,ID3,998777.562609599,0.7269342908988721,0.013165392665127323
1068,2024-12-12,2024-12-12 05:28:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,26,15,15,998777.562609599,True,,131.25000000000085,-316.72385705212895,53681.246974137684,164.62994855227436,39.064733554776964,4.246930765458513,1.0546875533210218,44.3663518735565,208.99630042583087,238.97755662629896,160.0,26.801750336855925,0.8063848991184527,18.804540815040433,0.053681246974137675,0.26840623487068843,32.242793093439346,447.9738570521298,417425.97201349563,28199.999999999996,7.188888888888889,BOD,998460.8387525468,0.4179368736747029,0.028234514926746286
1069,2025-01-01,2025-01-01 05:18:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,8,17,8,998460.8387525468,True,,-1410.0000000000093,-2889.6643874469005,442054.77973751345,754.7980833009241,89.55231496790626,25.205241487869635,8.905580553060421,123.66313700883632,878.4612203097604,601.2031671371309,160.0,219.88315925860184,6.665148614367348,154.85178934205095,0.4420547797375134,2.2102738986875674,57.15074124368567,1479.6643874468912,715873.7299376493,13890.000000000005,8.195833333333333,BOD,995571.1743650999,0.7169772735724367,0.013911411906103238
1072,2025-01-31,2025-01-31 05:40:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,6,34,6,995571.1743650999,True,,-180.00000000001535,-3281.4898383677682,854225.5452907486,1775.3958877822708,150.45727862561614,157.8617394511539,31.016258389866522,339.3352764666365,2114.7311642489076,986.7586741188454,160.0,425.9654070632498,12.847804146824963,299.2352085153492,0.8542255452907486,4.271127726453743,83.58490112167686,3101.489838367753,665078.6240619686,5130.000000000003,13.180555555555555,ID1,992289.6845267321,0.6680372445356361,0.005152820945495463
1073,2025-02-13,2025-02-13 08:05:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,9,5,5,992289.6845267321,True,,-3168.7500000000005,-3596.0229103872807,50094.32869849892,178.91433949129964,12.129785728223705,1.1565727455518378,1.0428410168597795,14.329199490635322,193.24353898193496,234.0293714053454,160.0,23.36616757975849,0.8018448335622126,17.54804334308417,0.05009432869849891,0.25047164349249457,32.01274967674952,427.2729103872803,392769.6833028564,25556.25,7.079861111111111,ID2,988693.6616163448,0.39582159265334504,0.025754827847665206
1075,2025-02-20,2025-02-20 05:42:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,9,5,5,988693.6616163448,True,,3337.499999999998,2930.012012017094,40200.10053295091,164.41583238924292,11.14683609418596,3.0627104565433125,0.926463344499222,15.136009895228495,179.55184228447138,227.93614569843243,160.0,21.679024345333218,0.5556322856285307,14.082095216692702,0.04020010053295091,0.20100050266475455,31.37819324758027,407.48798798290386,390571.41136702796,26325.0,14.179166666666667,ID1,991623.6736283619,0.3950378428931269,0.026626043052570127
1076,2025-03-06,2025-03-06 07:20:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,9,5,5,991623.6736283619,True,,4124.999999999999,3727.8628857417734,31237.395005594044,164.0776348586562,11.12390744804449,1.3187471532837707,0.6816213653287916,13.124275966657052,177.20191082531323,219.93520343291257,160.0,17.592596547384364,0.4093439537462903,10.942459470459593,0.03123739500559404,0.15618697502797022,30.803379091288768,397.13711425822584,379002.5460254535,25462.5,7.111111111111111,ID2,995351.5365141036,0.3822040115668871,0.02567758382253263
1081,2025-05-08,2025-05-08 08:45:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,9,4,4,995351.5365141036,True,,2760.0,2423.8357415750515,6329.9333909724155,131.55107724813155,6.68903782617618,1.32298132961927,0.609310726828933,8.621329882624384,140.17240713075591,195.9918512941925,160.0,4.474880491920831,0.05565158697154758,2.217375666857637,0.006329933390972415,0.031649666954862085,29.205963948096624,336.1642584249484,323147.35827173863,27075.0,7.052083333333333,ID3,997775.3722556788,0.3246565122142249,0.027201444923490466
1082,2025-05-12,2025-05-12 06:49:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,7,20,7,997775.3722556788,True,,-2100.0,-4649.817208047675,620469.4213198667,1467.4152493544061,149.22866942587189,144.31427937122174,21.53382586489491,315.07677466198857,1782.4920240163951,767.3251840312803,160.0,308.2934646479252,9.365278700158248,217.35043828834932,0.6204694213198667,3.1023471065993338,68.59318586692834,2549.817208047675,697666.3199239682,10106.250000000007,10.13263888888889,ID1,993125.555047631,0.6992218282024223,0.010128782771168953
1084,2025-05-19,2025-05-19 08:22:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,7,16,7,993125.555047631,True,,7.460698725481052e-12,-1856.460616747788,478749.4171124358,1043.0201556878403,106.06984634113631,58.192972013827244,13.131061264961641,177.39387961992517,1220.4140353077655,636.0465814400301,160.0,238.76450153856405,7.199547467216155,167.7059208144863,0.47874941711243585,2.39374708556218,59.50411511708896,1856.4606167477955,677983.2560638275,12705.000000000002,17.068055555555556,ID2,991269.0944308833,0.6826762765472397,0.012792944392001534
1085,2025-05-22,2025-05-22 07:21:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,9,5,5,991269.0944308833,True,,4331.250000000002,3929.9913883543413,30689.12193093468,167.97330988441612,11.388021009112958,1.7205225518034046,0.6565970144589846,13.765140575375348,181.73845045979147,219.52016118586897,160.0,17.419316740237445,0.39809415572091705,10.750399412406418,0.030689121930934676,0.15344560965467338,30.768216145918565,401.2586116456605,412750.27155761904,27581.25,14.110416666666667,ID2,995199.0858192376,0.4163856957475216,0.027824180290655795
1086,2025-05-26,2025-05-26 07:07:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,7,27,7,995199.0858192376,True,,157.49999999997613,-2652.635311435545,700774.9309309074,1642.1946395639015,167.00284470141372,134.8345156415389,22.652069061694654,324.48942940464724,1966.6840689685487,843.4512424669726,160.0,349.48287343096933,10.538761724998139,245.48145830509682,0.7007749309309073,3.5038746546545365,73.74349942032279,2810.1353114355215,731144.1502910291,7665.000000000013,17.12013888888889,ID2,992546.4505078021,0.7346712438839901,0.0077019765283347945
1089,2025-05-29,2025-05-29 05:03:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,8,6,6,992546.4505078021,True,,4702.500000000001,4186.419649755721,83021.44142202873,223.76524794426757,18.963156605446404,3.5603313166327064,1.1698402521766575,23.693328174255768,247.4585761185233,268.62177412575653,160.0,43.7382414229551,1.1784959999722087,29.082410930136664,0.08302144142202873,0.4151072071101437,34.12449712416039,516.0803502442799,506990.4819926997,27112.5,14.20625,BOD,996732.8701575578,0.5107977382149879,0.02731610191757658
1091,2025-06-03,2025-06-03 07:05:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,7,29,7,996732.8701575578,True,,3281.25,1074.428283620773,585281.4760178645,1250.6328874527476,127.18300550366925,75.15959937901447,16.67540624231045,219.01801112499416,1469.6508985777418,737.1708178014851,160.0,293.5465375596434,8.752048153746633,205.02410104905795,0.5852814760178645,2.9264073800893224,66.33644218292973,2206.821716379227,716243.2925846506,7034.999999999995,9.12152777777778,ID2,997807.2984411785,0.7185910227596196,0.0070580595971395455
1093,2025-06-05,2025-06-05 05:20:00+00:00,confirmation_2025_2026,short_iron_condor,growth,0.75,0.03,53,9,5,5,997807.2984411785,True,,168.7500000000014,-239.85932314717,44343.70994100841,164.3756602235381,11.144112557528006,1.991677743386389,0.821906585960215,13.95769688687461,178.3333571104127,230.27596603675875,160.0,22.167063291949006,0.6652993994717825,15.533601592335248,0.04434370994100842,0.22171854970504212,31.643939493356637,408.6093231471714,413067.6534117648,26718.75,7.194444444444445,BOD,997567.4391180313,0.41397537786813,0.02677746498922316
