structure,lots,trades,mean_gross,mean_net,median_net,net_win_rate,mean_cost,mean_impact,mean_margin,mean_max_loss,selected_capacity_cap
short_iron_condor,24,72,3537.916666666666,1500.280313861311,2846.630787054013,0.5972222222222222,2037.6363528053553,557.5841988278798,1052782.8977514834,83476.66666666667,False
short_iron_condor,25,72,3685.3298611111113,1548.249034881008,2960.0318837643763,0.5972222222222222,2137.080826230103,603.2318834122667,1096648.851824462,86954.86111111111,False
short_iron_condor,26,72,3832.7430555555557,1594.484563302914,3072.417402254763,0.5972222222222222,2238.258492252641,650.613176944385,1140514.8058974405,90433.05555555556,False
short_iron_condor,27,72,3980.15625,1638.9900962082056,3183.7889758364554,0.5972222222222222,2341.1661537917944,699.7248815708848,1184380.7599704189,93911.25,False
short_iron_condor,28,72,4127.569444444443,1681.768649328762,3294.1481451737727,0.5972222222222222,2445.800795115682,750.5639808315125,1228246.7140433975,97389.44444444444,False
short_iron_condor,29,72,4274.982638888888,1722.8230735597683,3403.496366719964,0.5972222222222222,2552.15956532912,803.1276231425213,1272112.6681163758,100867.63888888889,False
short_iron_condor,30,72,4422.395833333332,1762.1560694422394,3511.8350201159765,0.5972222222222222,2660.2397638910934,857.4131073106495,1315978.6221893544,104345.83333333333,False
short_iron_condor,31,72,4569.809027777777,1799.7701999253245,3619.165414710408,0.5972222222222222,2770.038827852453,913.4178697677323,1359844.576262333,107824.02777777778,False
short_iron_condor,32,72,4717.222222222222,1835.667901662368,3725.4887953303923,0.5972222222222222,2881.5543205598533,971.139473271913,1403710.5303353113,111302.22222222222,False
short_iron_condor,33,72,4864.635416666666,1869.8514950503534,3830.8063474105047,0.5972222222222222,2994.7839216163125,1030.575596865775,1447576.48440829,114780.41666666667,False
short_iron_condor,34,72,5012.04861111111,1902.3231708748713,3935.119201568652,0.5972222222222222,3109.7254402362396,1091.7240269172294,1491442.4384812685,118258.61111111111,False
short_iron_condor,35,72,5159.461805555555,1933.0850609804027,4038.4284377032955,0.5972222222222222,3226.3767445751528,1154.5826490975783,1535308.3925542468,121736.80555555556,False
short_iron_condor,36,72,5306.874999999999,1962.139189988823,4140.735088674497,0.5972222222222222,3344.735810011176,1219.1494411744125,1579174.3466272252,125215.0,False
short_iron_condor,37,72,5454.288194444443,1989.4874940672255,4242.040143621585,0.5972222222222222,3464.8007003772186,1285.4224665159572,1623040.3007002037,128693.19444444444,False
short_iron_condor,38,72,5601.701388888888,2015.1318296732034,4342.344550962307,0.5972222222222222,3586.569559215685,1353.3998682190645,1666906.254773182,132171.38888888888,False
short_iron_condor,39,72,5749.114583333332,2039.073978876838,4441.649221111683,0.5972222222222222,3710.0406044564943,1423.0798637859543,1710772.2088461607,135649.58333333334,False
short_iron_condor,40,72,5896.527777777777,2061.3156541982607,4539.955028953407,0.5972222222222222,3835.212123579516,1494.460740285488,1754638.1629191393,139127.77777777778,False
short_iron_condor,41,72,6043.940972222222,2081.858503016037,4637.262816091978,0.5972222222222222,3962.0824692061847,1567.540849943726,1798504.1169921176,142605.97222222222,False
short_iron_condor,42,72,6191.354166666666,2100.7041115941042,4733.573392909957,0.5972222222222222,4090.6500550725614,1642.3186061160252,1842370.0710650962,146084.16666666666,False
short_iron_condor,43,72,6338.76736111111,2117.8540050462125,4828.887540451517,0.5972222222222222,4220.913356064898,1718.7924795992567,1886236.0251380748,149562.36111111112,False
