date,signals,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,maximum_margin_rupees,equity_rupees,peak_equity_rupees,drawdown_rupees,drawdown_pct,daily_return
2025-05-08,1,4,12809.999999999998,377.2834199266417,12432.716580073356,21487.573847689207,338168.35827173863,1099470.183738536,1099470.183738536,0.0,0.0,0.011437247524294314
2025-05-09,0,0,0.0,0.0,0.0,0.0,0.0,1099470.183738536,1099470.183738536,0.0,0.0,0.0
2025-05-12,1,3,-753.7499999999987,1193.655645066252,-1947.4056450662504,287343.7738874436,311077.8513959864,1097522.7780934698,1099470.183738536,-1947.4056450661737,-0.0017712218792913514,-0.0017712218792913514
2025-05-13,0,0,0.0,0.0,0.0,0.0,0.0,1097522.7780934698,1099470.183738536,-1947.4056450661737,-0.0017712218792913514,0.0
2025-05-14,0,0,0.0,0.0,0.0,0.0,0.0,1097522.7780934698,1099470.183738536,-1947.4056450661737,-0.0017712218792913514,0.0
2025-05-15,0,0,0.0,0.0,0.0,0.0,0.0,1097522.7780934698,1099470.183738536,-1947.4056450661737,-0.0017712218792913514,0.0
2025-05-16,0,0,0.0,0.0,0.0,0.0,0.0,1097522.7780934698,1099470.183738536,-1947.4056450661737,-0.0017712218792913514,0.0
2025-05-19,1,3,270.00000000000387,925.1075418803442,-655.1075418803404,226619.9807599421,301949.25259878323,1096867.6705515895,1099470.183738536,-2602.5131869465113,-0.0023670611767725447,-0.0005968965336813348
2025-05-20,0,0,0.0,0.0,0.0,0.0,0.0,1096867.6705515895,1099470.183738536,-2602.5131869465113,-0.0023670611767725447,0.0
2025-05-21,0,0,0.0,0.0,0.0,0.0,0.0,1096867.6705515895,1099470.183738536,-2602.5131869465113,-0.0023670611767725447,0.0
2025-05-22,1,4,2774.9999999999995,413.4757845145111,2361.5242154854886,46690.5275702458,344678.21724609524,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0021529709361365335
2025-05-23,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-05-26,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-05-27,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-05-28,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-05-29,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-05-30,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-06-02,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-06-03,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-06-04,0,0,0.0,0.0,0.0,0.0,0.0,1099229.194767075,1099470.183738536,-240.9889714610763,-0.00021918645455365482,0.0
2025-06-05,1,4,555.0000000000007,406.6935373885034,148.3064626114973,58543.99366796685,345397.1227294119,1099377.5012296864,1099470.183738536,-92.68250884953886,-8.429742817983588e-05,0.000134918598703182
2025-06-06,0,0,0.0,0.0,0.0,0.0,0.0,1099377.5012296864,1099470.183738536,-92.68250884953886,-8.429742817983588e-05,0.0
2025-06-09,0,0,0.0,0.0,0.0,0.0,0.0,1099377.5012296864,1099470.183738536,-92.68250884953886,-8.429742817983588e-05,0.0
2025-06-10,0,0,0.0,0.0,0.0,0.0,0.0,1099377.5012296864,1099470.183738536,-92.68250884953886,-8.429742817983588e-05,0.0
2025-06-11,0,0,0.0,0.0,0.0,0.0,0.0,1099377.5012296864,1099470.183738536,-92.68250884953886,-8.429742817983588e-05,0.0
2025-06-12,1,4,794.9999999999995,412.7012683489331,382.2987316510664,67423.1977128858,351639.42180888937,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0003477410909569212
2025-06-13,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-16,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-17,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-18,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-19,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-20,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-23,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-24,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-25,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-26,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-27,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-06-30,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-07-01,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-07-02,0,0,0.0,0.0,0.0,0.0,0.0,1099759.7999613376,1099759.7999613376,0.0,0.0,0.0
2025-07-03,1,4,660.0000000000017,372.939149474671,287.0608505253307,47190.15890692811,353960.2969605618,1100046.8608118629,1100046.8608118629,0.0,0.0,0.0002610214071612216
2025-07-04,0,0,0.0,0.0,0.0,0.0,0.0,1100046.8608118629,1100046.8608118629,0.0,0.0,0.0
2025-07-07,0,0,0.0,0.0,0.0,0.0,0.0,1100046.8608118629,1100046.8608118629,0.0,0.0,0.0
2025-07-08,0,0,0.0,0.0,0.0,0.0,0.0,1100046.8608118629,1100046.8608118629,0.0,0.0,0.0
