trade_id,trade_date,entry_ts,exit_ts,split,structure,span_time_slot,entry_dte,confidence_score,quality_switch_pass,skip_reason,lots,lot_size,margin_cap_lots,risk_cap_lots,binding_constraint,equity_before,margin_rupees,margin_utilization,max_loss_rupees,q95_cost_reserve_rupees,cash_risk_reserved_rupees,cash_risk_utilization,gross_pnl_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,charges_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,position_net_return_on_margin,equity_after,drawdown_after_rupees,drawdown_after_pct,executed,profile,config_id
920,2021-12-30,2021-12-30 07:12:00+00:00,2021-12-30 13:42:00+05:30,discovery_2021_2023,short_iron_fly,ID2,14.116666666666667,0.7777777777777778,True,,7,50.0,8,7,cash_risk,1017765.5739224692,298122.20380186505,0.2929183413552709,34702.5,1844.176952565028,36546.67695256503,0.035908737619915865,2835.000000000002,158.43776658049566,16.112315245474136,6.627903366939602,1.1073320412770182,23.847550653690757,182.28531723418644,160.0,9.813860789893655,0.5092502069106449,12.821935785426126,0.036602728476808816,0.18301364238404405,31.147479388131654,214.51214254122294,396.7974597754094,2438.2025402245927,36602.728476808814,0.008178533866752997,1020203.776462694,-3025.7729687567335,-0.0029570813024681897,True,max_margin_efficiency_dd_1.5%,5628
922,2022-01-13,2022-01-13 07:09:00+00:00,2022-01-13 13:39:00+05:30,discovery_2021_2023,short_iron_fly,ID2,7.11875,0.8472222222222222,True,,8,50.0,8,8,margin_and_cash_risk,1020203.776462694,354212.1134356234,0.3471974144849443,37080.0,2114.463589658114,39194.46358965812,0.038418269461376914,4380.0,195.31200185084543,23.172610389083363,7.802425068093483,1.58696307182365,32.5619985290005,227.874000379846,160.0,12.391662548203739,0.6189359729036197,15.908707824876135,0.045414524193194784,0.22707262096597397,31.712615094606353,220.90440858574902,448.778408965595,3931.221591034405,45414.52419319479,0.01109849562428612,1024134.9980537284,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
927,2022-02-10,2022-02-10 07:33:00+00:00,2022-02-10 14:03:00+05:30,discovery_2021_2023,short_iron_fly,ID2,7.102083333333334,0.6388888888888888,True,,8,50.0,8,8,margin_and_cash_risk,1024134.9980537284,342972.8726307876,0.3348902959888833,38000.0,2114.463589658114,40114.46358965812,0.03916911702645829,3700.0,194.56877291557157,23.084430684898326,5.655420291964736,1.5020610901078058,30.241912066970865,224.81068498254245,160.0,11.881628171680733,0.6086420108503202,15.431178577108426,0.044051323371705475,0.22025661685852738,31.625187573120954,219.81094427299067,444.6216292555331,3255.378370744467,44051.32337170547,0.00949164972078973,1027390.3764244728,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
929,2022-02-22,2022-02-22 05:48:00+00:00,,discovery_2021_2023,,,,0.0277777777777777,False,confidence_score_at_or_below_0.40,0,,7,0,quality_switch,1027390.3764244728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027390.3764244728,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
939,2022-03-16,2022-03-16 05:39:00+00:00,,discovery_2021_2023,,,,0.25,False,confidence_score_at_or_below_0.40,0,,7,0,quality_switch,1027390.3764244728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027390.3764244728,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
940,2022-03-21,2022-03-21 05:47:00+00:00,,discovery_2021_2023,,,,0.0972222222222222,False,confidence_score_at_or_below_0.40,0,,6,0,quality_switch,1027390.3764244728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027390.3764244728,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
941,2022-03-22,2022-03-22 06:01:00+00:00,,discovery_2021_2023,,,,0.0138888888888888,False,confidence_score_at_or_below_0.40,0,,6,0,quality_switch,1027390.3764244728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027390.3764244728,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
944,2022-04-13,2022-04-13 06:10:00+00:00,2022-04-13 12:40:00+05:30,discovery_2021_2023,short_iron_fly,ID1,8.159722222222221,0.5555555555555556,True,,8,50.0,8,9,margin,1027390.3764244728,343792.7025017413,0.3346271391972832,31359.999999999996,2114.463589658114,33474.46358965811,0.03258202953599394,-1720.000000000001,247.2561039019509,29.335469954468753,7.154683094033814,2.1444705201573617,38.634623568659926,285.89072747061084,160.0,18.23268825552772,1.1541380171557816,26.250306305478396,0.07493664374958149,0.3746832187479075,33.60598671023566,239.69273915089508,525.583466621506,-2245.583466621507,74936.64374958148,-0.006531795033113401,1025144.7929578512,-2245.5834666215815,-0.0021857158857537806,True,max_margin_efficiency_dd_1.5%,5628
945,2022-04-21,2022-04-21 07:05:00+00:00,,discovery_2021_2023,,,,0.0833333333333333,False,confidence_score_at_or_below_0.40,0,,8,0,quality_switch,1025144.7929578512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025144.7929578512,-2245.5834666215815,-0.0021857158857537806,False,max_margin_efficiency_dd_1.5%,5628
946,2022-04-27,2022-04-27 05:38:00+00:00,,discovery_2021_2023,,,,0.1527777777777778,False,confidence_score_at_or_below_0.40,0,,7,0,quality_switch,1025144.7929578512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025144.7929578512,-2245.5834666215815,-0.0021857158857537806,False,max_margin_efficiency_dd_1.5%,5628
